date,WE/EU,AP,AME,AP,MENA,SSA,WE/EU,AME,ECA
3/31/13,2108.179739,78578.8339,17744.02834,974.1942246,26.3682,N/A,300911.4219,13595.9408,586.6226896
6/30/13,381983.4302,635382.9449,844606.0839,107548.1735,2601.326089,3476.567281,3152848.143,16520.13423,69264.73375
9/30/13,1250979.138,1571484.488,7899008.67,274233.8861,1368.247645,66185.26324,5105933.58,95082.5928,136398.7756
12/31/13,6511564.37,3665050.113,18990323.42,1950433.641,22505.39203,231357.6616,19725685.87,694662.8828,1169834.775
3/31/14,5379350.44,3995609.986,23759857.78,1943062.736,114068.0511,455816.9689,17609192.14,1148378.528,1742057.006
6/30/14,4877066.043,4569850.186,28630937.16,1924356.374,54849.5881,476868.6794,15885091.15,761903.1407,1414378.199
9/30/14,5479745.794,5718994.339,37025372.81,2458517.292,123136.1239,414334.267,17414860.07,950726.4745,2195730.042
12/31/14,5791003.97,5967911.052,43051829,2171511.153,106730.5766,358545.2595,15618126.47,1001118.361,2893627.696
3/31/15,5691074.981,5705089.484,47888437.9,2190541.793,102056.1309,522719.9044,15198316.88,1169953.914,3728044.242
6/30/15,5520750.391,5573148.692,52525481.69,3292683.673,77704.09162,1849602.911,15561529.29,1199454.592,6266466.527
9/30/15,6655589.011,6371317.326,58194607.68,3933838.402,176700.6413,3626190.533,18158384.23,1648405.741,8661863.278
12/31/15,7753211.587,8127352.731,67888912.85,6760135.872,332132.197,5419473.371,21871890.46,2070805.171,15646865.15
3/31/16,7883596.555,6680050.109,72289303.18,6561984.073,407385.9788,8545940.073,22531978.04,2153243.79,18414025.6
6/30/16,7460151.767,8107235.109,80960645.07,10512466.96,1306709.14,8434900.574,28399700.01,3214004.47,31295938.9
9/30/16,7434593.932,9201305.805,78952198.58,10839722.36,666932.7498,5670396.957,26898001.05,4590112.096,43125722.21
12/31/16,11152166.42,11553025.7,86872613.65,16064903.06,997201.2414,11757112.99,31339687.06,6902466.8,59977092.76
3/31/17,12834272.15,12818006.46,91907377.73,66973487.87,1342600.731,20045201.36,38919824.83,12544876.86,70831020.51
6/30/17,17962270.28,19966802.15,109466621.6,109815791.9,2838000.76,34227736.66,68862373.95,27216095.1,107619827.9
9/30/17,25729085.11,24150532.27,108855078.4,102298961,5302454.311,49512118.36,80729753.96,41661551.07,138676560.8
12/31/17,46891074.08,48080012.77,137254380.5,236669303.2,21350975.76,78134228.97,179513819.1,72781711.78,259506864.2
3/31/18,63996646.56,34769758.86,129150621.2,208702746.4,28080824.35,75011936,158923409.6,85380153.05,221392524.3
6/30/18,32028283.02,17600055.6,143065524.9,116487515.1,14794740.02,73368959.56,76259643.31,100877051.8,195662925.9
9/30/18,25590028.09,14306340.52,97040052.98,106347563.9,11580931.26,74251548.79,61709416.44,111564533,196502073.3
12/31/18,28028414.51,13223487,87103476.95,100013266,11251355.75,66233330.19,50962644.26,147360974,209171376.7